0xCB588FD4, infinityloader
0xD355A03A, menuoptions
0x7D9E7B5A, clientoptions
0xF4B99BDF, maxrank
0x6CB4A008, getindexfromname
0x55418BC4, isweapon_category
0xA7CE4A89, unlockachievements
0x86486EF5, customstats
0x72577529, kypricloop
0x727C1768, giveloot
0xE17D9720, restartmap
0x11BC1B62, endgame
0x142A18FE, superjump
0x767AF6A3, nofalldam
0x2A2B9813, allsuperjump
0x6D3DD71F, superspeed
0x9DB45504, godmode
0xEE2696A1, demigodmode
0x21887B76, noclip
0xF8E2F0A6, spawnsm
0x9707C569, getcursorpos
0x92E72385, noweaponspread
0x1993E5A8, pspeed
0x40E2F6B9, give_weapon
0x4CC97CBC, kys
0x801AC49F, setcustomstats
0xA3FC533F, resetstats
0x38D1C373, editclantag
0x47831FBC, multijump
0x62DBF522, invisible
0x610C52D7, thirdperson
0x1C47C43C, custphdperk
0xEA94BCF2, specnade
0x1336310F, nadeangles
0xFEDE6346, cloneme
0xEF145877, deleteafter30
0x53F464C, clustergrenades
0x4896EDF7, grenadesplit
0x69A7BCAF, unlmequipment
0x72A7C3FB, unlmammo
0x673E0380, unlmammoreload
0x12EF56AE, wepopt
0x98ED3C9B, customcinematic
0x7012E1F4, randomspawnpoints
0xF9B79E6B, savelocation
0xED9FE9B3, savespawn
0xB9CFAB58, teletpcros
0x781BF23, teletspace
0xED596023, saveloadbind
0x72D7FF30, cinematictele
0xF828B562, killtriggers
0xE7F81A13, aimbot
0xC9A73E01, checkaimbot
0x7DF6CEC2, aimbotmenuopen
0x932F60D7, aimbotangles
0xDF8DD691, autoshoot
0xB048B104, aimbotdamage
0x83035DBC, aimbottarget
0x43B89EBA, aimbotdistance
0x3228FC07, visibilitycheck
0xDA24F257, adscheck
0x29C8DBE7, testclients
0x5B26B752, forcebotspawn
0x6522C150, isbot
0x12E678C8, bothandler
0x37A864BA, clientopts
0xCB1B0C34, timescale
0xAE0E544E, physicsgravity
0x92261FE6, sustainammo
0x47D1442E, playersunlimitedsprint
0xB8D13625, gravity
0x60AC1594, antiquit
0xB54EEA29, antijoin
0xC180E7E1, completedailychallanges
0x4A8125E7, notarget
0x8192CC8D, setperkcheck
0x990019B2, fixbrokenstats
0x6C5DE92, givecamo
0x3258C388, infiniteheropower
0xB53B14D8, setprestige
0x5443E6CC, forcehost
0x476B305B, autodropshot
0xBB7EDED2, kickallplayers
0xDAD5F103, allinvulnerability
0x705C8D93, allinvisible
0xB0057762, allthirdperson
0xDDA94D46, allmaxrank
0x66225E47, allplayerchallenges
0x3E57BD25, allplayerachievements
0x70EC107B, grab_stats_from_table
0x1D616086, maxweaponranks
0xB600D465, maxweaponranksoptic
0x18EEEDBD, findallcollectible
0x9E1AEF76, getallcpdecorations
0x23A49B74, unlockmaps
0xD99225FD, unlocknightmaremaps
0xABEA6E3A, unlocktokenscp
0x2DC19561, __init__sytem__
0x6E837BD2, repair
0x8C87D8EB, __init__
0xC35E6AAB, init
0xA513AA2B, getkillstreaknames
0x603848D5, onplayerconnect
0xBE02CC45, onplayerspawned
0x45A299DB, menuaccessspawn
0xE1E7A41A, damageoverride
0x70915A31, playerkilledoverride
0x3FE24860, cacheweapons
0x8246709C, cachecamos
0x64D16163, replacechar
0x324FE5C3, constructstring
0xC0784002, menumonitor
0xC326439D, dooption
0xE9D5E338, menuopen
0xCE1FBD4C, menuclose
0x1C4EA0E2, drawtext
0x1535B0E5, getsubmenus
0x361EF067, getsubmenucurs
0x3B30E613, setsubmenucurs
0xFC74E63C, refreshtitle
0xC456297, isinmain
0x72DE6E9C, revaluetitles
0x91E17971, scrollingsystem
0x5F17D120, updatescrollbar
0xB5A45173, setmenutext
0x1D31DCF4, flashelem
0x6AB79396, flashelemmonitor
0xEF34EE62, initializesetup
0xDADC3776, allplayersaccess
0x9F479280, newmenu
0xDB5381B7, addmenu
0x60D5B691, addopt
0xEA78BD2, addoptdesc
0x6444ECD7, setcurrentmenu
0x225891FB, getcurrentmenu
0x894D0C59, getcursor
0xF22C7C6C, ismenuopen
0xC1C245D0, createtext
0xCFD4873C, createrectangle
0x7F41C8E7, isinarray
0x2DC55EC6, getname
0x231BC3FE, destroyall
0x2E076071, bool
0x5FD83932, toupper
0x525D5EAE, hudfade
0xBFBA5399, hudmovex
0x99B7D930, hudmovey
0xE14F5886, hasmenu
0x455E4C8F, getsubmenuscolouraccess
0x6161E05A, e
0xFFF24642, 0bogsarraykeysa6291b4c-1e82-42cb-bcbd-34451b589934
0xB0ED83C2, 0bogsindex0a3a9657-2ad8-4126-b46b-3971f02fbb73
0xDFCC01FD, weapon
0xDDDA9606, compiler
0x1970A3B3, self
0x410D46A7, access
0x734B7379, weaponcategories
0xF996A5BC, weapons
0x4BE20D44, name
0xCD724008, script
0xC4D5EC1F, getweapon
0x3D29746, id
0xD53C0A8B, _camos
0x2E2A14BB, status
0x5BFD4005, 0bogsarraykeysdf4cd453-9c5c-4aee-ae9b-537417d4aaae
0xC8E23FC9, 0bogsindex432106bc-caf6-4017-bcb1-aa698a06b5bc
0x5DC5E20A, player
0x641EC267, 0bogsarraykeysd8fb3e2f-7290-4012-900a-140d0b46f8df
0x32051043, 0bogsindex14a325f6-e257-491b-863d-1ca0fb9877c2
0x2395E945, players
0xC7F3CE11, getentitynumber
0x428A889F, endon
0x8F67433B, setdstat
0xD52B076D, iprintln
0xE00762CE, string
0x84970CC4, array
0xAF16FBB5, 0bogsarraykeys15569fdf-ca81-4387-ac2a-4c3eb29b49a4
0xB7519DAE, 0bogsindex63a7794a-d199-4bc3-aa70-a88501e26ffb
0x5E76F0AF, index
0x10777417, undefined
0x5DBF7ECA, issubstr
0x8B6604D5, 0bogsarraykeys59ec3f05-cfb0-4bcb-bb34-8099c8c4e5ed
0x341EF23D, 0bogsindexde2069de-5474-4233-958b-345bc492e979
0xC4A7CC07, achivement
0x74486FFC, isdefined
0x7341B042, allachievements
0xBE6B87F9, true
0xD8F1287C, _achievements
0xDC99997A, randomintrange
0x9A7ED193, uploadstats
0x35C84E32, val
0x58F5A6A1, kypricnum
0x1E71D770, loopcrypto
0x293D069C, isvials
0x1E2AF8C1, amount
0x2921D92A, false
0xB6B79A0, int
0xFAC43B6C, reportlootreward
0x764C8221, map_restart
0xB2E858FC, killserver
0x346B5C0E, 0bogsarraykeys24df887e-b186-491f-9287-0dac1110fc2f
0x6407A29C, 0bogsindex78b330f9-881e-4ead-a39e-c873d1da5eda
0x4BD0142F, getdvarint
0x6C1294B8, setdvar
0xC957F6B6, i
0xECD44E51, jumpbuttonpressed
0xF5DF04E6, setvelocity
0x1439C75A, getvelocity
0x8029A253, isonground
0x14C556B6, savegspeed
0x6F1EBE57, getdvarstring
0x28E3E3FD, level
0x83FD42B5, enableinvulnerability
0x4890E520, disableinvulnerability
0x3FC1574, end
0xD2412961, vec
0xB340B98B, clip
0xF92749C3, noclipbind
0x1DF81780, menu
0xC11AE181, fragbuttonpressed
0x5B49D38C, isalive
0xEF57CE7B, noclipext
0x1271A73E, disableweapons
0x518A4A08, disableoffhandweapons
0x722885F3, origin
0x87B6CDA1, playerlinkto
0x50CCEE8D, hide
0xBC7CE905, anglestoforward
0x89C87C9C, getplayerangles
0xBE4A4B0D, attackbuttonpressed
0xB9A85331, adsbuttonpressed
0xF645AF0F, meleebuttonpressed
0xDC8C8404, delete
0x901E0817, enableweapons
0x4B9F6977, enableoffhandweapons
0x6DF9264, model
0x6AB6F4FD, angles
0x60DB70FA, time
0xA3D46EE4, ent
0x9B7FDA5E, spawn
0xE48F905E, setmodel
0x2A97D9FD, dist
0xE1DC201C, bullettrace
0x501EB072, geteye
0xDC604012, vectorscale
0xCBA5B7BA, setspreadoverride
0x3C316267, resetspreadoverride
0x2FAE0A5E, notify
0x5A7DD25D, setmovespeedscale
0x1F3745C0, takeweapon
0x48C6A3A2, getcurrentweapon
0x860A040A, giveweapon
0x9785D11, switchtoweaponimmediate
0x704B802A, givemaxammo
0xC3945CD5, dodamage
0x3A90F16B, health
0x2461863F, stat
0x9368BA0C, value
0xAB8716A0, adddstat
0x7784D260, currentnum
0x5D8FA337, setperk
0xE52E855C, unsetperk
0x5543B9D2, cantseeme
0x40017067, waittill
